"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"10","1001.1","1011.4","1002.7","2024/07/10 08:38:00","999.3","2024/07/10 15:22:00","28.6","35.8","2024/07/10 12:53:00","25.2","2024/07/10 04:32:00","24.5","79","49","2024/07/10 13:02:00","2.7","200","12.7","200","2024/07/10 15:56:00","2.5","-99.9","2.0","2024/07/10 16:05:00","--","--","8.8","X","22.35","28.6","28.9","29.2","29.2","/","29.2","28.6"
"11","999.5","1009.7","1000.8","2024/07/11 00:14:00","997.7","2024/07/11 14:55:00","28.6","35.1","2024/07/11 12:22:00","25.1","2024/07/11 05:29:00","24.4","79","53","2024/07/11 12:23:00","3.4","180","10.5","290","2024/07/11 14:24:00","0.5","-99.9","0.5","2024/07/11 15:06:00","--","--","8.9","X","21.44","28.2","28.7","29.0","29.2","/","29.3","28.6"
"12","997.6","1007.7","999.2","2024/07/12 06:39:00","995.7","2024/07/12 15:52:00","30.3","36.2","2024/07/12 14:47:00","25.4","2024/07/12 05:17:00","24.2","71","47","2024/07/12 14:49:00","2.8","210","9.2","260","2024/07/12 16:14:00","0.0","-99.9","0.0","2024/07/12 00:01:00","--","--","11.5","X","27.86","29.7","29.3","29.4","29.3","/","29.3","28.6"
"13","998.4","1008.5","1000.7","2024/07/13 22:29:00","996.6","2024/07/13 02:03:00","29.7","36.2","2024/07/13 13:23:00","26.1","2024/07/13 23:49:00","23.8","71","50","2024/07/13 11:27:00","2.9","200","13.7","210","2024/07/13 16:20:00","0.0","-99.9","0.0","2024/07/13 00:01:00","--","--","9.7","X","23.52","29.5","29.5","29.7","29.7","/","29.5","28.7"
"14","1000.4","1010.6","1001.8","2024/07/14 23:24:00","999.4","2024/07/14 15:35:00","30.1","35.9","2024/07/14 13:36:00","24.4","2024/07/14 03:31:00","22.5","64","45","2024/07/14 11:50:00","2.4","290","10.9","290","2024/07/14 13:34:00","0.0","-99.9","0.0","2024/07/14 00:01:00","--","--","11.7","X","28.14","29.3","29.0","29.3","29.4","/","29.5","28.7"
"15","1001.3","1011.5","1003.3","2024/07/15 06:58:00","998.5","2024/07/15 17:01:00","30.7","35.7","2024/07/15 15:28:00","26.3","2024/07/15 05:16:00","24.5","70","50","2024/07/15 15:17:00","2.7","290","8.9","290","2024/07/15 15:49:00","0.0","-99.9","0.0","2024/07/15 00:01:00","0.0","2024/07/15 00:01:00","11.1","X","26.11","30.0","29.5","29.7","29.6","/","29.5","28.7"
"16","1001.8","1012.1","1003.5","2024/07/16 23:21:00","1000.0","2024/07/16 15:54:00","29.6","36.4","2024/07/16 13:47:00","25.4","2024/07/16 23:54:00","24.5","76","50","2024/07/16 10:52:00","2.0","240","10.8","280","2024/07/16 14:21:00","0.5","-99.9","0.5","2024/07/16 20:05:00","0.5","2024/07/16 19:15:00","10.7","X","25.92","29.6","29.4","29.7","29.7","/","29.6","28.7"
"17","1002.4","1012.7","1004.6","2024/07/17 18:46:00","1000.3","2024/07/17 15:08:00","28.0","35.6","2024/07/17 13:29:00","23.4","2024/07/17 19:12:00","23.9","80","44","2024/07/17 11:19:00","2.2","140","14.5","110","2024/07/17 18:57:00","29.0","-99.9","16.5","2024/07/17 18:37:00","28.0","2024/07/17 18:23:00","9.1","X","20.78","28.2","28.7","29.1","29.4","/","29.6","28.8"
"18","1002.2","1012.4","1003.5","2024/07/18 07:14:00","1000.1","2024/07/18 16:32:00","29.5","35.4","2024/07/18 13:35:00","23.2","2024/07/18 05:28:00","24.8","77","54","2024/07/18 12:01:00","2.2","300","9.6","290","2024/07/18 15:10:00","0.0","-99.9","0.0","2024/07/18 00:01:00","0.0","2024/07/18 00:01:00","12.1","X","30.46","28.7","28.8","29.0","29.0","/","29.3","28.8"
"19","1000.4","1010.6","1002.4","2024/07/19 00:01:00","998.2","2024/07/19 16:28:00","30.4","34.7","2024/07/19 13:19:00","26.0","2024/07/19 05:37:00","25.7","76","58","2024/07/19 10:56:00","2.3","330","9.3","320","2024/07/19 16:27:00","0.0","-99.9","0.0","2024/07/19 00:01:00","0.0","2024/07/19 00:01:00","11.0","X","22.30","29.7","29.6","29.7","29.6","/","29.5","28.7"
"20","1000.5","1010.7","1002.0","2024/07/20 22:14:00","998.8","2024/07/20 16:13:00","29.8","34.3","2024/07/20 11:28:00","26.9","2024/07/20 05:05:00","26.7","83","60","2024/07/20 10:15:00","2.0","270","7.6","340","2024/07/20 15:58:00","25.5","-99.9","5.0","2024/07/20 12:43:00","18.0","2024/07/20 13:41:00","11.1","X","18.97","29.3","29.6","29.8","29.7","/","29.6","28.8"
"21","999.9","1010.1","1001.5","2024/07/21 00:08:00","997.6","2024/07/21 16:00:00","29.8","35.3","2024/07/21 13:16:00","26.1","2024/07/21 23:50:00","25.9","80","58","2024/07/21 11:31:00","2.4","350","9.8","310","2024/07/21 15:30:00","5.5","-99.9","2.5","2024/07/21 04:14:00","5.5","2024/07/21 03:50:00","11.2","X","24.33","29.3","29.6","29.9","29.8","/","29.7","28.9"
"22","996.8","1006.9","1000.8","2024/07/22 00:06:00","994.4","2024/07/22 17:05:00","30.3","35.4","2024/07/22 12:33:00","25.3","2024/07/22 05:38:00","25.7","77","55","2024/07/22 11:33:00","2.2","310","8.6","330","2024/07/22 13:11:00","0.0","-99.9","0.0","2024/07/22 00:01:00","0.0","2024/07/22 00:01:00","11.3","X","24.33","29.6","29.6","29.7","29.7","/","29.7","28.9"
"23","989.1","999.1","994.5","2024/07/23 00:07:00","984.1","2024/07/23 17:34:00","31.2","36.3","2024/07/23 16:38:00","27.1","2024/07/23 05:44:00","26.4","76","56","2024/07/23 16:36:00","1.8","180","7.3","210","2024/07/23 20:53:00","0.0","-99.9","0.0","2024/07/23 00:01:00","0.0","2024/07/23 00:01:00","11.3","X","22.95","30.4","30.3","30.3","30.1","/","29.8","28.9"
"24","976.9","987.0","986.1","2024/07/24 00:19:00","969.8","2024/07/25 00:00:00","27.1","29.6","2024/07/24 14:20:00","25.3","2024/07/24 08:12:00","25.9","93","81","2024/07/24 13:34:00","5.4","330","23.3","320","2024/07/24 15:47:00","66.5","-99.9","7.5","2024/07/24 11:25:00","20.5","2024/07/24 10:45:00","3.2","X","4.26","27.4","28.4","29.0","29.3","/","29.8","29.2"
"25","974.0","984.1","982.8","2024/07/25 23:29:00","968.5","2024/07/25 02:36:00","26.0","27.2","2024/07/25 00:09:00","24.2","2024/07/25 21:22:00","25.2","95","83","2024/07/25 22:25:00","7.3","190","26.6","180","2024/07/25 18:41:00","209.0","-99.9","6.5","2024/07/25 03:46:00","25.5","2024/07/25 17:35:00","0.3","X","2.13","26.0","26.9","27.3","27.7","/","28.5","28.6"
"26","989.5","999.8","995.1","2024/07/26 21:19:00","982.3","2024/07/26 00:01:00","26.2","29.1","2024/07/26 13:45:00","24.9","2024/07/26 22:54:00","24.2","89","76","2024/07/26 02:32:00","5.7","170","18.9","170","2024/07/26 01:26:00","92.0","-99.9","7.0","2024/07/26 08:03:00","20.5","2024/07/26 13:53:00","4.0","X","5.27","25.4","25.9","26.2","26.4","/","27.3","27.8"
"27","998.9","1009.1","1001.9","2024/07/27 23:38:00","994.1","2024/07/27 00:02:00","28.5","33.2","2024/07/27 13:34:00","24.6","2024/07/27 01:49:00","25.0","82","62","2024/07/27 10:18:00","1.9","190","10.7","250","2024/07/27 14:44:00","0.5","-99.9","0.5","2024/07/27 00:57:00","0.5","2024/07/27 00:07:00","9.8","X","16.65","27.2","27.1","27.1","27.0","/","27.4","27.9"
"28","1000.4","1010.6","1002.1","2024/07/28 21:58:00","997.9","2024/07/28 15:32:00","29.5","34.9","2024/07/28 14:14:00","25.8","2024/07/28 23:31:00","25.1","78","56","2024/07/28 13:16:00","1.8","350","11.3","320","2024/07/28 14:58:00","0.0","-99.9","0.0","2024/07/28 00:01:00","0.0","2024/07/28 00:01:00","9.7","X","23.40","28.3","28.3","28.3","28.1","/","27.9","28.0"
"29","999.0","1009.3","1000.9","2024/07/29 00:01:00","996.8","2024/07/29 15:50:00","28.0","32.3","2024/07/29 15:33:00","25.9","2024/07/29 00:19:00","24.8","83","55","2024/07/29 15:33:00","1.7","170","5.0","110","2024/07/29 04:47:00","2.5","-99.9","1.0","2024/07/29 11:29:00","2.5","2024/07/29 11:18:00","7.9","X","12.25","27.3","27.9","28.1","28.1","/","28.3","28.0"
"30","999.8","1010.1","1001.9","2024/07/30 23:09:00","998.6","2024/07/30 04:43:00","28.3","33.4","2024/07/30 12:19:00","25.5","2024/07/30 20:00:00","25.1","83","58","2024/07/30 11:18:00","1.8","200","7.0","250","2024/07/30 15:53:00","41.5","-99.9","7.5","2024/07/30 19:36:00","18.5","2024/07/30 18:52:00","9.2","X","18.83","28.1","28.3","28.4","28.3","/","28.4","28.1"
"31","1001.3","1011.6","1002.9","2024/07/31 22:43:00","999.9","2024/07/31 14:54:00","28.4","34.1","2024/07/31 12:32:00","25.0","2024/07/31 04:18:00","26.2","89","58","2024/07/31 12:42:00","2.4","190","10.6","210","2024/07/31 12:48:00","10.0","-99.9","7.0","2024/07/31 19:12:00","9.5","2024/07/31 18:26:00","8.5","X","19.33","27.8","28.3","28.5","28.5","/","28.6","28.2"
