"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"14","1004.2","1014.7","1006.1","2024/05/14 22:21:00","1002.8","2024/05/14 03:29:00","22.8","28.6","2024/05/14 16:02:00","19.9","2024/05/14 02:40:00","17.8","74","57","2024/05/14 16:09:00","0.9","290","5.0","330","2024/05/14 17:42:00","0.0","-99.9","0.0","2024/05/14 00:01:00","7.2","X","10.86","23.4","24.4","25.1","25.6","/","26.4","26.1"
"15","1005.1","1015.5","1006.3","2024/05/15 09:36:00","1003.9","2024/05/15 03:38:00","24.7","30.5","2024/05/15 13:04:00","19.7","2024/05/15 05:20:00","19.1","73","49","2024/05/15 16:38:00","1.6","290","7.4","290","2024/05/15 13:57:00","0.0","-99.9","0.0","2024/05/15 00:01:00","11.5","X","28.96","24.8","25.0","25.3","25.6","/","26.1","26.0"
"16","1005.1","1015.5","1007.2","2024/05/16 07:17:00","1003.0","2024/05/16 16:25:00","24.6","30.8","2024/05/16 12:52:00","19.4","2024/05/16 05:16:00","17.7","67","44","2024/05/16 10:17:00","2.0","320","7.9","320","2024/05/16 12:45:00","0.0","-99.9","0.0","2024/05/16 00:01:00","11.3","X","25.59","24.3","24.7","25.1","25.5","/","26.1","25.9"
"17","1003.8","1014.2","1005.8","2024/05/17 07:30:00","1002.4","2024/05/17 16:49:00","25.0","29.3","2024/05/17 12:29:00","22.1","2024/05/17 22:31:00","19.5","72","35","2024/05/17 16:05:00","1.8","280","7.4","290","2024/05/17 13:11:00","0.0","-99.9","0.0","2024/05/17 00:01:00","10.4","X","21.26","24.9","25.2","25.5","25.7","/","26.1","25.9"
"18","1001.1","1011.5","1003.1","2024/05/18 00:01:00","999.2","2024/05/18 15:33:00","25.0","30.6","2024/05/18 15:27:00","20.1","2024/05/18 05:15:00","20.5","77","51","2024/05/18 10:56:00","1.5","260","6.4","280","2024/05/18 12:14:00","0.0","-99.9","0.0","2024/05/18 00:01:00","10.7","X","20.90","25.1","25.3","25.5","25.7","/","26.1","25.9"
"19","999.9","1010.2","1001.1","2024/05/19 10:20:00","998.7","2024/05/19 03:08:00","26.2","31.0","2024/05/19 15:16:00","22.4","2024/05/19 04:54:00","21.8","77","46","2024/05/19 15:00:00","1.4","240","5.7","300","2024/05/19 15:51:00","0.0","-99.9","0.0","2024/05/19 00:01:00","9.6","X","15.99","25.7","25.8","26.0","26.0","/","26.2","25.9"
"20","1000.3","1010.6","1002.5","2024/05/20 22:16:00","998.9","2024/05/20 04:42:00","26.4","30.0","2024/05/20 13:07:00","23.7","2024/05/20 05:31:00","23.2","82","64","2024/05/20 12:48:00","1.3","240","4.6","300","2024/05/20 15:16:00","0.0","-99.9","0.0","2024/05/20 00:01:00","9.0","X","10.65","26.0","26.2","26.4","26.3","/","26.4","25.9"
"21","1001.6","1011.9","1002.9","2024/05/21 21:57:00","999.7","2024/05/21 15:51:00","26.7","31.0","2024/05/21 14:40:00","24.8","2024/05/21 04:23:00","23.7","84","66","2024/05/21 14:03:00","1.6","200","7.2","130","2024/05/21 17:49:00","0.5","-99.9","0.5","2024/05/21 09:25:00","8.4","X","13.45","26.2","26.5","26.7","26.6","/","26.5","26.0"
"22","1001.4","1011.8","1002.6","2024/05/22 09:39:00","1000.5","2024/05/22 13:49:00","26.7","31.9","2024/05/22 12:43:00","24.0","2024/05/22 04:54:00","23.6","83","60","2024/05/22 12:31:00","1.4","200","15.9","320","2024/05/22 14:39:00","0.0","-99.9","0.0","2024/05/22 00:01:00","9.4","X","15.77","26.5","26.7","26.8","26.8","/","26.7","26.0"
"23","1001.3","1011.6","1002.7","2024/05/23 09:44:00","999.9","2024/05/23 03:47:00","26.5","31.1","2024/05/23 12:25:00","23.6","2024/05/23 03:54:00","23.2","82","64","2024/05/23 12:15:00","1.4","190","7.3","300","2024/05/23 15:06:00","0.0","-99.9","0.0","2024/05/23 00:01:00","8.5","X","11.25","26.1","26.5","26.7","26.8","/","26.8","26.1"
"24","1002.7","1013.1","1004.1","2024/05/24 21:51:00","1000.7","2024/05/24 03:44:00","26.0","30.7","2024/05/24 13:36:00","24.0","2024/05/24 04:09:00","23.9","88","67","2024/05/24 13:02:00","1.0","240","5.3","300","2024/05/24 15:31:00","1.0","-99.9","0.5","2024/05/24 08:20:00","7.8","X","9.76","26.1","26.5","26.7","26.7","/","26.8","26.2"
"25","1002.2","1012.5","1003.7","2024/05/25 07:51:00","1000.9","2024/05/25 19:15:00","27.4","32.3","2024/05/25 12:47:00","24.0","2024/05/25 05:09:00","23.8","81","55","2024/05/25 12:44:00","1.5","290","6.4","280","2024/05/25 14:33:00","0.0","-99.9","0.0","2024/05/25 00:01:00","10.0","X","14.58","26.7","26.8","26.9","26.9","/","26.9","26.2"
"26","1000.5","1010.8","1002.4","2024/05/26 00:08:00","998.4","2024/05/27 00:00:00","27.0","29.4","2024/05/26 12:09:00","25.1","2024/05/26 05:35:00","24.5","86","73","2024/05/26 15:40:00","1.2","210","4.3","280","2024/05/26 13:00:00","0.0","-99.9","0.0","2024/05/26 00:01:00","9.4","X","8.14","26.7","26.9","27.1","27.1","/","27.0","26.3"
"27","996.3","1006.6","998.4","2024/05/27 00:04:00","994.2","2024/05/27 17:37:00","27.0","30.8","2024/05/27 09:19:00","24.5","2024/05/27 02:00:00","23.7","82","63","2024/05/27 09:20:00","2.8","160","8.9","210","2024/05/27 10:47:00","2.0","-99.9","1.0","2024/05/27 11:56:00","8.7","X","12.18","26.1","26.5","26.8","26.9","/","27.0","26.4"
"28","994.9","1005.2","997.6","2024/05/28 22:55:00","993.2","2024/05/28 14:56:00","25.6","29.5","2024/05/28 14:33:00","23.0","2024/05/28 23:11:00","22.7","84","69","2024/05/28 15:22:00","2.9","310","9.9","120","2024/05/28 06:49:00","57.0","-99.9","8.5","2024/05/28 07:50:00","7.2","X","15.57","25.1","25.8","26.2","26.4","/","26.8","26.4"
"29","998.1","1008.4","1000.0","2024/05/29 22:37:00","996.3","2024/05/29 16:09:00","26.2","31.4","2024/05/29 14:26:00","21.9","2024/05/29 05:28:00","22.6","81","62","2024/05/29 16:34:00","1.4","300","8.2","300","2024/05/29 15:07:00","0.5","-99.9","0.5","2024/05/29 09:53:00","10.2","X","21.33","26.0","26.3","26.5","26.5","/","26.7","26.4"
"30","999.8","1010.1","1002.0","2024/05/30 22:35:00","998.1","2024/05/30 14:34:00","27.9","33.0","2024/05/30 11:49:00","23.9","2024/05/30 05:49:00","24.4","82","60","2024/05/30 10:14:00","1.9","270","8.2","290","2024/05/30 14:50:00","2.0","-99.9","2.0","2024/05/30 15:18:00","10.6","X","22.14","27.3","27.3","27.3","27.2","/","27.0","26.4"
"31","1002.3","1012.6","1004.4","2024/05/31 22:47:00","1000.7","2024/05/31 02:58:00","29.0","33.5","2024/05/31 10:59:00","25.4","2024/05/31 04:50:00","24.9","79","57","2024/05/31 10:17:00","2.2","170","16.7","210","2024/05/31 14:09:00","3.0","-99.9","2.5","2024/05/31 14:03:00","11.1","X","20.22","27.6","27.6","27.8","27.7","/","27.4","26.5"
