% Model,Untitled.mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Version,COMSOL 5.6.0.401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Date,"Aug 2 2024, 10:55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Dimension,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Nodes,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Expressions,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Description,Liquid volume fraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Length unit,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,Y,t=0h,t=3h,t=6h,t=9h,t=12h,t=15h,t=18h,t=21h,t=24h,t=27h,t=30h,t=33h,t=36h,t=39h,t=42h,t=45h,t=48h,t=51h,t=54h,t=57h,t=60h,t=63h,t=66h,t=69h,t=72h,t=75h,t=78h,t=81h,t=84h,t=87h,t=90h,t=93h,t=96h,t=99h,t=102h,t=105h,t=108h,t=111h,t=114h,t=117h,t=120h
20,-9,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
30,-10,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
30,-9.5,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
0,-8,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.362214909,0.355031141,0.377106001,0.401811877,0.412385107,0.416585178,0.416899315,0.407796836,0.371253398,0.332732062,0.317130267,0.313580206,0.308767063,0.30339852,0.298106533,0.292757664,0.28617969,0.279723696,0.273400367,0.267096096,0.25986696,0.252860227,0.249468652,0.246216018,0.247405027,0.249372958
10,-8,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.362293009,0.355099083,0.376903397,0.401702946,0.412369825,0.416593823,0.416903693,0.407793622,0.371268787,0.332746093,0.31713414,0.313577719,0.308764146,0.303396797,0.29810517,0.292756633,0.286178727,0.2797228,0.273399539,0.267095346,0.259866397,0.252859843,0.249468461,0.246216015,0.24740522,0.249373354
20,-8.5,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.428907513,0.355403007,0.307956115,0.301924243,0.299248914,0.292622476,0.286472854,0.280313206,0.274095577,0.266054189,0.258265504,0.250739584,0.243329598,0.234875087,0.226820724,0.224341662,0.222029532,0.225347646,0.229746485
30,-9,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
40,-10,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
40,-9.5,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
0,-7.5,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.429925723,0.381382741,0.397580462,0.4126044,0.38136684,0.360086221,0.368405518,0.382781603,0.390299462,0.392962683,0.392418659,0.386029292,0.367527032,0.342715191,0.326357786,0.32071806,0.317011746,0.313000191,0.308593531,0.304141723,0.298897444,0.293710389,0.288587714,0.283449945,0.277625895,0.271914005,0.268290363,0.264765161,0.26433674,0.264437524
10,-7.5,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.429922708,0.381408146,0.39753293,0.412605835,0.38138633,0.360109462,0.368321452,0.382691126,0.390270378,0.392967336,0.392427973,0.386032384,0.367532781,0.342724492,0.326363355,0.320717349,0.317009273,0.312998563,0.308592294,0.304140849,0.298896641,0.293709656,0.288587052,0.283449356,0.277625425,0.27191365,0.268290148,0.264765084,0.264336814,0.264437752
20,-8,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.357958967,0.356985948,0.377168639,0.400326465,0.411280119,0.415993591,0.41666693,0.407719751,0.370502869,0.332144147,0.317163471,0.313887067,0.309013908,0.303535899,0.298213683,0.292837064,0.286254095,0.279793106,0.273464824,0.267154629,0.259910517,0.252889592,0.249481021,0.246211849,0.247382488,0.249331335
30,-8.5,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.428955132,0.355409172,0.30797977,0.301996852,0.299296243,0.29264936,0.286491811,0.28032921,0.274108868,0.266066619,0.258277083,0.25075033,0.243339289,0.23488163,0.226824384,0.224342426,0.222027484,0.225342581,0.229738201
40,-9,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
50,-10,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
50,-9.5,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
0,-7,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.394918908,0.412976444,0.384615443,0.387024895,0.395838539,0.380220337,0.362760637,0.362731791,0.369879322,0.374247496,0.375244726,0.373910208,0.369549022,0.359584537,0.344446507,0.33098721,0.323799217,0.32001332,0.316961963,0.313330731,0.309665303,0.305462227,0.30128873,0.297148994,0.29299234,0.28838872,0.283842505,0.280410092,0.277040675,0.275639845,0.274578458
10,-7,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.394917998,0.412966254,0.384639122,0.387000868,0.395834458,0.380229009,0.362769378,0.362701815,0.369821626,0.374216405,0.375242292,0.373920174,0.369557017,0.359587942,0.344451135,0.330992031,0.323800408,0.32001216,0.31696072,0.313329748,0.309664563,0.305461559,0.301288135,0.297148471,0.292991888,0.288388347,0.283842207,0.280409889,0.277040565,0.275639841,0.274578562
20,-7.5,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.429927857,0.381488025,0.398771518,0.412152255,0.379484159,0.360833864,0.368952114,0.381963002,0.389388686,0.392408367,0.392233419,0.386040046,0.367252429,0.342300095,0.326220034,0.320889971,0.317225875,0.313130254,0.308690537,0.304208178,0.298958489,0.29376604,0.288638014,0.283494546,0.27766119,0.271940282,0.268304587,0.264767573,0.264325376,0.264412003
30,-8,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.359568459,0.357489179,0.375822591,0.399564004,0.411083621,0.415973877,0.416672884,0.407736802,0.370495733,0.332124385,0.317188543,0.313932678,0.309046765,0.303554236,0.298227956,0.292847609,0.286263977,0.279802326,0.273473387,0.2671624,0.25991624,0.252893375,0.249482475,0.246211037,0.24737915,0.249325373
40,-8.5,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.428771245,0.355959094,0.30797738,0.301635406,0.299061278,0.292508039,0.286391137,0.280244036,0.274037918,0.265999927,0.258214617,0.250692014,0.243286328,0.234845164,0.226803037,0.224336765,0.222037075,0.225368632,0.22978183
50,-9,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
60,-10,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
60,-9.5,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
0,-6.5,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.42849788,0.405481193,0.393452137,0.397647809,0.383868861,0.380099082,0.383566599,0.375393874,0.362612951,0.358280289,0.360512339,0.362429839,0.36228056,0.360451806,0.356984111,0.350841677,0.341490717,0.331503956,0.324233898,0.320006777,0.317216734,0.314107296,0.310977721,0.307513863,0.304068529,0.300644158,0.29721127,0.293518318,0.289858282,0.286769304,0.283720221,0.2818492,0.280186707
10,-6.5,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.428501943,0.405506132,0.393454763,0.397641894,0.38388236,0.380089076,0.383561323,0.37539783,0.362617332,0.358271167,0.360480648,0.362404423,0.362273189,0.360457858,0.356992251,0.350845339,0.341492898,0.331506889,0.324235847,0.320006943,0.317216138,0.314106723,0.310977172,0.307513366,0.304068083,0.300643764,0.297210928,0.293518028,0.289858044,0.286769128,0.283720106,0.281849156,0.280186735
20,-7,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.394974734,0.412959354,0.384567125,0.387631912,0.395734894,0.379161522,0.362815934,0.363290149,0.369600047,0.37365299,0.374807178,0.373763141,0.369577495,0.359496552,0.344207602,0.330819274,0.323841213,0.320146677,0.317066071,0.313409711,0.309720857,0.305512174,0.301333092,0.297187812,0.293025617,0.288416029,0.28386396,0.280423607,0.277046359,0.275636033,0.274564914
30,-7.5,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.429980735,0.381565158,0.397950693,0.412360893,0.380202635,0.361152394,0.368307061,0.381348669,0.389151123,0.392375733,0.392256347,0.386068221,0.36725882,0.342289831,0.32622525,0.320917441,0.31725343,0.313147313,0.308703304,0.304216977,0.298966567,0.293773399,0.288644661,0.283500431,0.277665802,0.27194366,0.268306314,0.264767682,0.264323593,0.264408274
40,-8,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.357120072,0.355553348,0.379804507,0.402211726,0.41194692,0.416175685,0.41670732,0.40771846,0.370769876,0.332359743,0.317100929,0.313707307,0.308875837,0.303457674,0.298152223,0.292790986,0.286210638,0.279752282,0.273426621,0.267119642,0.259884183,0.252871461,0.249473109,0.246213887,0.247395737,0.249356256
50,-8.5,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.428816703,0.355321863,0.307856383,0.301776842,0.29916846,0.292576512,0.286439544,0.280284825,0.274071706,0.266031476,0.258243956,0.250719194,0.243310746,0.234861148,0.2268113,0.224337442,0.222030385,0.225354001,0.229758722
60,-9,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
70,-10,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
70,-9.5,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
0,-6,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.422727494,0.409099508,0.397243535,0.390773726,0.387604533,0.380444768,0.374477343,0.374219189,0.369136908,0.359959209,0.353995509,0.352968854,0.352947916,0.351974355,0.349873198,0.346751581,0.342250563,0.336050095,0.328848781,0.322423041,0.31798815,0.315063222,0.312224372,0.309382827,0.306410458,0.303452376,0.300510105,0.297568983,0.294501521,0.291456252,0.288707696,0.285986222,0.283948452,0.282036778
10,-6,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.422731151,0.40909996,0.397256435,0.390774681,0.387601968,0.380451314,0.374474144,0.374214918,0.369138334,0.359961794,0.353993449,0.352953231,0.352930402,0.351965543,0.349874501,0.346756989,0.342254376,0.336051674,0.328850219,0.322424627,0.317988915,0.315063188,0.312224188,0.309382507,0.306410155,0.303452091,0.300509838,0.297568734,0.294501305,0.291456068,0.288707551,0.285986116,0.283948392,0.282036765
20,-6.5,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.428533869,0.405529813,0.393490419,0.397634936,0.383803832,0.380386015,0.383614019,0.374831523,0.362430791,0.358647776,0.360521631,0.362113208,0.361956946,0.360298469,0.356975323,0.350826356,0.341374017,0.331370735,0.324203928,0.320062443,0.317284002,0.314162189,0.311020902,0.307552359,0.304102359,0.300673354,0.297235925,0.293538949,0.289874945,0.286780894,0.283726789,0.281849572,0.280180734
30,-7,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.395360741,0.413129028,0.384782782,0.387212996,0.39577012,0.379574337,0.363055915,0.36302741,0.369185246,0.373426588,0.374757166,0.373794699,0.36962016,0.359507402,0.344202268,0.330818598,0.323853981,0.320164334,0.317079404,0.313419865,0.309728046,0.305518648,0.301338853,0.297192865,0.293029959,0.288419563,0.283866701,0.280425263,0.277046943,0.275635314,0.274562858
40,-7.5,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.381637965,0.39825293,0.41207345,0.379346538,0.360108584,0.370053718,0.383393973,0.390091129,0.392604457,0.392224838,0.385985654,0.367341546,0.342450642,0.32624793,0.320783701,0.317107752,0.313057261,0.308635507,0.304169748,0.298922942,0.293733372,0.288608208,0.283467828,0.277639817,0.27192409,0.268295601,0.264765654,0.264331832,0.264427084
50,-8,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.357304922,0.355979956,0.380063574,0.402162582,0.411813094,0.41607059,0.416671117,0.407731847,0.370530408,0.332153539,0.317097796,0.313805234,0.308958456,0.303504303,0.298188627,0.292817999,0.286235907,0.279775808,0.273448421,0.267139346,0.259898354,0.252880394,0.24947588,0.246210668,0.247385849,0.249339437
60,-8.5,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.428768234,0.355326354,0.307792868,0.30167328,0.299111376,0.292545868,0.286418439,0.280267375,0.274057611,0.266018461,0.258232001,0.250708267,0.243300976,0.234853934,0.226806435,0.224334783,0.222029867,0.225355573,0.229762493
70,-9,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
80,-10,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
80,-9.5,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
0,-5.5,0.43,0.43,0.43,0.43,0.43,0.43,0.421970864,0.408332836,0.400519252,0.391444891,0.38617562,0.380290431,0.375276025,0.368939802,0.366310757,0.36219351,0.355357839,0.349193058,0.346181223,0.344625422,0.342956176,0.340671288,0.337687956,0.333900813,0.329293108,0.323959762,0.318626777,0.314324061,0.311205175,0.308470577,0.305751134,0.303089822,0.300441478,0.297807144,0.295182476,0.292525729,0.289886482,0.287417207,0.284968588,0.282916836,0.280942965
10,-5.5,0.43,0.43,0.43,0.43,0.43,0.43,0.421978133,0.408332925,0.400518517,0.391451271,0.386176509,0.380289338,0.375278632,0.368939351,0.366307968,0.362193587,0.355359357,0.349193094,0.346174206,0.344614747,0.342948388,0.340669434,0.337690183,0.333903875,0.329294763,0.323960588,0.318627659,0.314324739,0.311205399,0.30847062,0.30575101,0.303089686,0.30044133,0.297806985,0.295182307,0.292525576,0.289886344,0.287417093,0.284968498,0.282916774,0.280942932
20,-6,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.4227541,0.409084925,0.397271824,0.390795788,0.387598129,0.380397137,0.374603779,0.374296517,0.368861101,0.359748401,0.354167268,0.353072425,0.352826281,0.351763559,0.349718072,0.346695861,0.3422481,0.336005413,0.328765074,0.322370686,0.317992828,0.315096281,0.312255958,0.309412808,0.306437415,0.303476322,0.30053106,0.297586991,0.29451681,0.291468852,0.288717081,0.285992422,0.283950732,0.28203505
30,-6.5,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.428757885,0.405006185,0.39361918,0.39772497,0.384041955,0.380196702,0.383574928,0.375052587,0.362607222,0.358568711,0.360275115,0.361926779,0.361892052,0.360319797,0.35701926,0.350843255,0.341371821,0.331368083,0.324209048,0.320072354,0.317293119,0.314169453,0.311026422,0.307557282,0.304106687,0.300677091,0.297239082,0.293541575,0.289877047,0.286782307,0.28372752,0.281849455,0.280179747
40,-7,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.396749953,0.413714156,0.384386791,0.387408897,0.395683832,0.379077881,0.362472825,0.363625441,0.370484241,0.374257453,0.37501367,0.373726439,0.369482096,0.359511585,0.344296438,0.330870086,0.323801294,0.320070831,0.317007937,0.313365203,0.309689048,0.305483342,0.301307228,0.297164896,0.293005671,0.288399471,0.283850727,0.280415091,0.2770425,0.275637926,0.274572717
50,-7.5,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.381539021,0.398481612,0.412138329,0.379478897,0.360345545,0.370228489,0.383398209,0.390006535,0.392515501,0.392182773,0.385988352,0.367253996,0.342309915,0.326191952,0.320835024,0.317177783,0.313100808,0.308668079,0.304192171,0.298943513,0.293752097,0.288625102,0.283482747,0.277651299,0.271932245,0.268299362,0.264765112,0.264326277,0.264416378
60,-8,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.355456693,0.35528228,0.381909625,0.403193857,0.412066395,0.416083601,0.416657315,0.407720523,0.370563016,0.332174579,0.317057819,0.313748275,0.308919859,0.303483528,0.298172766,0.29280665,0.28622542,0.279766177,0.273439634,0.267131473,0.259892144,0.252875764,0.249473007,0.246209503,0.247386452,0.249341857
70,-8.5,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.42864745,0.356859768,0.308017537,0.301283075,0.298837146,0.292374159,0.286296544,0.280164282,0.273971763,0.265937695,0.258156283,0.25063751,0.24323672,0.234810331,0.226781756,0.224329747,0.222043935,0.225390432,0.229819584
80,-9,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
90,-10,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
