TIME,30cm,50cm,100cm,150cm,200cm,300cm,500cm,700cm,900cm
2024/1/2 08:50,18.26,2.528,4.191,0,0,0,20.64,23.18,30.09
2024/1/2 09:00,18.26,2.527,4.195,0,0,0,20.64,23.19,30.09
2024/1/2 09:10,18.26,2.526,4.194,0,0,0,20.64,23.19,30.09
2024/1/2 09:20,18.25,2.525,4.19,0,0,0,20.64,23.18,30.09
2024/1/2 09:30,18.26,2.526,4.19,0,0,0,20.64,23.18,30.08
2024/1/2 09:40,18.26,2.523,4.188,0,0,0,20.64,23.19,30.09
2024/1/2 09:50,18.26,2.526,4.193,0,0,0,20.64,23.19,30.09
2024/1/2 10:00,18.27,2.527,4.195,0,0,0,20.64,23.19,30.09
2024/1/2 10:10,18.27,2.528,4.195,0,0,0,20.64,23.19,30.09
2024/1/2 10:20,18.27,2.528,4.196,0,0,0,20.64,23.18,30.09
2024/1/2 10:30,18.26,2.519,4.189,0,0,0,20.59,23.14,30.07
2024/1/2 10:40,18.25,2.526,4.187,0,0,0,20.6,23.08,30.01
2024/1/2 10:50,18.22,2.519,4.182,0,0,0,20.59,23.12,30.03
2024/1/2 11:00,18.28,2.527,4.199,0,0,0,20.64,23.18,30.08
2024/1/2 11:10,18.27,2.527,4.199,0,0,0,20.63,23.13,30.03
2024/1/2 11:20,18.23,2.518,4.191,0,0,0,20.56,23.02,30
2024/1/2 11:30,18.25,2.525,4.2,0,0,0,20.58,23.12,30
2024/1/2 11:40,18.27,2.526,4.202,0,0,0,20.62,23.1,30.08
2024/1/2 11:50,18.25,2.52,4.19,0,0,0,20.6,23.09,30.07
2024/1/2 12:00,18.25,2.528,4.189,0,0,0,20.61,23.11,30.06
2024/1/2 12:10,18.26,2.521,4.193,0,0,0,20.57,23.11,30.05
2024/1/2 12:20,18.26,2.513,4.167,0,0,0,20.55,23.06,29.93
2024/1/2 12:30,18.24,2.51,4.176,0,0,0,20.58,23.06,29.97
2024/1/2 12:40,18.26,2.511,4.189,0,0,0,20.55,23.05,29.95
2024/1/2 12:50,18.26,2.52,4.188,0,0,0,20.57,23.08,29.99
2024/1/2 13:00,18.23,2.5,4.172,0,0,0,20.54,23.04,29.97
2024/1/2 13:10,18.25,2.513,4.192,0,0,0,20.55,23.03,29.9
2024/1/2 13:20,18.2,2.508,4.196,0,0,0,20.57,23.05,29.99
2024/1/2 13:30,18.23,2.523,4.183,0,0,0,20.54,23.07,29.96
2024/1/2 13:40,18.23,2.526,4.187,0,0,0,20.57,23.04,29.98
2024/1/2 13:50,18.23,2.519,4.186,0,0,0,20.54,23.01,30
2024/1/2 14:00,18.26,2.518,4.194,0,0,0,20.57,23.05,29.99
2024/1/2 14:10,18.24,2.512,4.182,0,0,0,20.54,23,29.96
2024/1/2 14:20,18.23,2.518,4.189,0,0,0,20.59,23.11,30.04
2024/1/2 14:30,18.29,2.527,4.204,0,0,0,20.63,23.1,30.03
2024/1/2 14:40,18.3,2.531,4.206,0,0,0,20.63,23.14,30.06
2024/1/2 14:50,18.31,2.531,4.202,0,0,0,20.63,23.13,30.06
2024/1/2 15:00,18.3,2.529,4.2,0,0,0,20.65,23.17,30.09
2024/1/2 15:10,18.3,2.532,4.203,0,0,0,20.66,23.18,30.09
2024/1/2 15:20,18.3,2.531,4.203,0,0,0,20.66,23.19,30.09
2024/1/2 15:30,18.3,2.528,4.203,0,0,0,20.66,23.18,30.09
2024/1/2 15:40,18.3,2.528,4.202,0,0,0,20.66,23.18,30.09
2024/1/2 15:50,18.29,2.528,4.2,0,0,0,20.65,23.18,30.09
2024/1/2 16:00,18.29,2.526,4.199,0,0,0,20.65,23.18,30.09
2024/1/2 16:10,18.28,2.525,4.198,0,0,0,20.65,23.18,30.09
2024/1/2 16:20,18.28,2.524,4.196,0,0,0,20.65,23.18,30.09
2024/1/2 16:30,18.28,2.522,4.195,0,0,0,20.65,23.18,30.09
2024/1/2 16:40,18.28,2.522,4.194,0,0,0,20.65,23.18,30.09
2024/1/2 16:50,18.27,2.52,4.192,0,0,0,20.65,23.19,30.09
2024/1/2 17:00,18.27,2.52,4.19,0,0,0,20.65,23.18,30.09
2024/1/2 17:10,18.27,2.519,4.19,0,0,0,20.65,23.18,30.09
2024/1/2 17:20,18.27,2.519,4.188,0,0,0,20.65,23.18,30.09
2024/1/2 17:30,18.27,2.519,4.188,0,0,0,20.65,23.18,30.09
2024/1/2 17:40,18.27,2.519,4.187,0,0,0,20.65,23.18,30.09
2024/1/2 17:50,18.27,2.517,4.185,0,0,0,20.65,23.18,30.09
2024/1/2 18:00,18.27,2.517,4.183,0,0,0,20.65,23.18,30.09
2024/1/2 18:10,18.27,2.517,4.183,0,0,0,20.65,23.18,30.09
2024/1/2 18:20,18.27,2.516,4.182,0,0,0,20.65,23.18,30.09
2024/1/2 18:30,18.27,2.515,4.181,0,0,0,20.64,23.18,30.09
2024/1/2 18:40,18.27,2.515,4.18,0,0,0,20.64,23.18,30.09
2024/1/2 18:50,18.27,2.515,4.178,0,0,0,20.64,23.18,30.09
2024/1/2 19:00,18.27,2.515,4.177,0,0,0,20.64,23.18,30.09
2024/1/2 19:10,18.27,2.515,4.177,0,0,0,20.64,23.18,30.09
2024/1/2 19:20,18.27,2.514,4.176,0,0,0,20.64,23.18,30.09
2024/1/2 19:30,18.28,2.515,4.176,0,0,0,20.64,23.18,30.09
2024/1/2 19:40,18.28,2.514,4.175,0,0,0,20.64,23.18,30.09
2024/1/2 19:50,18.28,2.514,4.175,0,0,0,20.64,23.18,30.09
2024/1/2 20:00,18.28,2.514,4.175,0,0,0,20.64,23.18,30.09
2024/1/2 20:10,18.28,2.515,4.174,0,0,0,20.64,23.18,30.09
2024/1/2 20:20,18.28,2.515,4.174,0,0,0,20.64,23.18,30.09
2024/1/2 20:30,18.28,2.515,4.173,0,0,0,20.64,23.18,30.09
2024/1/2 20:40,18.28,2.515,4.172,0,0,0,20.64,23.18,30.09
2024/1/2 20:50,18.28,2.515,4.172,0,0,0,20.64,23.18,30.09
2024/1/2 21:00,18.28,2.515,4.171,0,0,0,20.64,23.18,30.09
2024/1/2 21:10,18.28,2.515,4.172,0,0,0,20.64,23.18,30.09
2024/1/2 21:20,18.29,2.515,4.172,0,0,0,20.64,23.18,30.09
2024/1/2 21:30,18.29,2.515,4.172,0,0,0,20.64,23.18,30.09
2024/1/2 21:40,18.29,2.515,4.172,0,0,0,20.64,23.18,30.09
2024/1/2 21:50,18.29,2.515,4.172,0,0,0,20.64,23.18,30.09
2024/1/2 22:00,18.29,2.515,4.172,0,0,0,20.64,23.18,30.09
2024/1/2 22:10,18.3,2.516,4.174,0,0,0,20.64,23.18,30.09
2024/1/2 22:20,18.3,2.517,4.175,0,0,0,20.64,23.18,30.09
2024/1/2 22:30,18.3,2.517,4.175,0,0,0,20.64,23.18,30.09
2024/1/2 22:40,18.3,2.518,4.175,0,0,0,20.64,23.18,30.09
2024/1/2 22:50,18.3,2.519,4.175,0,0,0,20.64,23.18,30.09
2024/1/2 23:00,18.3,2.518,4.175,0,0,0,20.64,23.18,30.09
2024/1/2 23:10,18.3,2.518,4.175,0,0,0,20.64,23.18,30.09
2024/1/2 23:20,18.3,2.519,4.175,0,0,0,20.64,23.18,30.09
2024/1/2 23:30,18.3,2.519,4.175,0,0,0,20.64,23.18,30.09
2024/1/2 23:40,18.3,2.519,4.174,0,0,0,20.64,23.18,30.09
2024/1/2 23:50,18.3,2.519,4.174,0,0,0,20.64,23.18,30.09
2024/1/3 00:00,18.3,2.52,4.173,0,0,0,20.64,23.18,30.09
2024/1/3 00:10,18.3,2.519,4.173,0,0,0,20.64,23.18,30.09
2024/1/3 00:20,18.3,2.52,4.172,0,0,0,20.64,23.18,30.09
2024/1/3 00:30,18.3,2.52,4.172,0,0,0,20.64,23.18,30.09
2024/1/3 00:40,18.29,2.519,4.172,0,0,0,20.64,23.18,30.09
2024/1/3 00:50,18.3,2.519,4.172,0,0,0,20.64,23.18,30.09
2024/1/3 01:00,18.3,2.519,4.172,0,0,0,20.64,23.18,30.09
2024/1/3 01:10,18.3,2.52,4.172,0,0,0,20.64,23.18,30.09
2024/1/3 01:20,18.3,2.52,4.172,0,0,0,20.64,23.18,30.09
2024/1/3 01:30,18.3,2.52,4.171,0,0,0,20.64,23.18,30.09
2024/1/3 01:40,18.3,2.52,4.172,0,0,0,20.64,23.18,30.09
2024/1/3 01:50,18.31,2.52,4.173,0,0,0,20.64,23.18,30.09
2024/1/3 02:00,18.31,2.52,4.175,0,0,0,20.64,23.18,30.09
2024/1/3 02:10,18.31,2.52,4.175,0,0,0,20.64,23.18,30.09
2024/1/3 02:20,18.31,2.521,4.175,0,0,0,20.64,23.18,30.09
2024/1/3 02:30,18.31,2.521,4.177,0,0,0,20.64,23.18,30.09
2024/1/3 02:40,18.31,2.522,4.177,0,0,0,20.65,23.18,30.09
2024/1/3 02:50,18.31,2.522,4.177,0,0,0,20.65,23.18,30.09
2024/1/3 03:00,18.31,2.522,4.177,0,0,0,20.65,23.18,30.09
2024/1/3 03:10,18.31,2.522,4.177,0,0,0,20.65,23.18,30.09
2024/1/3 03:20,18.31,2.523,4.177,0,0,0,20.65,23.18,30.09
2024/1/3 03:30,18.31,2.524,4.177,0,0,0,20.65,23.18,30.09
2024/1/3 03:40,18.31,2.524,4.177,0,0,0,20.65,23.18,30.09
2024/1/3 03:50,18.31,2.524,4.177,0,0,0,20.65,23.18,30.09
2024/1/3 04:00,18.31,2.524,4.177,0,0,0,20.65,23.18,30.09
2024/1/3 04:10,18.31,2.524,4.177,0,0,0,20.65,23.18,30.09
2024/1/3 04:20,18.31,2.524,4.177,0,0,0,20.65,23.18,30.09
2024/1/3 04:30,18.31,2.524,4.177,0,0,0,20.65,23.18,30.09
2024/1/3 04:40,18.31,2.524,4.177,0,0,0,20.65,23.18,30.09
2024/1/3 04:50,18.31,2.524,4.177,0,0,0,20.65,23.18,30.09
2024/1/3 05:00,18.3,2.524,4.177,0,0,0,20.65,23.18,30.09
2024/1/3 05:10,18.3,2.524,4.175,0,0,0,20.65,23.18,30.09
2024/1/3 05:20,18.29,2.524,4.175,0,0,0,20.65,23.18,30.09
2024/1/3 05:30,18.29,2.523,4.174,0,0,0,20.65,23.18,30.09
2024/1/3 05:40,18.29,2.522,4.172,0,0,0,20.64,23.18,30.09
2024/1/3 05:50,18.29,2.522,4.172,0,0,0,20.64,23.18,30.09
2024/1/3 06:00,18.28,2.522,4.171,0,0,0,20.64,23.18,30.09
2024/1/3 06:10,18.28,2.522,4.17,0,0,0,20.64,23.18,30.09
2024/1/3 06:20,18.28,2.521,4.17,0,0,0,20.64,23.18,30.09
2024/1/3 06:30,18.28,2.522,4.17,0,0,0,20.64,23.18,30.09
2024/1/3 06:40,18.28,2.521,4.169,0,0,0,20.64,23.18,30.09
2024/1/3 06:50,18.28,2.521,4.167,0,0,0,20.64,23.18,30.09
2024/1/3 07:00,18.28,2.52,4.167,0,0,0,20.64,23.18,30.09
2024/1/3 07:10,18.28,2.52,4.167,0,0,0,20.64,23.18,30.09
2024/1/3 07:20,18.28,2.52,4.167,0,0,0,20.64,23.18,30.09
2024/1/3 07:30,18.27,2.52,4.165,0,0,0,20.64,23.18,30.09
2024/1/3 07:40,18.27,2.52,4.165,0,0,0,20.64,23.18,30.09
2024/1/3 07:50,18.27,2.52,4.164,0,0,0,20.64,23.18,30.09
2024/1/3 08:00,18.27,2.52,4.162,0,0,0,20.64,23.18,30.09
2024/1/3 08:10,18.27,2.52,4.162,0,0,0,20.64,23.18,30.09
2024/1/3 08:20,18.27,2.52,4.162,0,0,0,20.64,23.18,30.09
