Time,TxSoil50cm
2024-07-15,29.5
2024-07-16,29.6
2024-07-17,29.6
2024-07-18,29.3
2024-07-19,29.5
2024-07-20,29.6
2024-07-21,29.7
2024-07-22,29.7
2024-07-23,29.8
2024-07-24,29.8
2024-07-25,28.5
2024-07-26,27.3
2024-07-27,27.4
2024-07-28,27.9
2024-07-29,28.3
2024-07-30,28.4
2024-07-31,28.6
2024-08-01,28.7
2024-08-02,29.0
2024-08-03,29.3
2024-08-04,29.6
2024-08-05,29.9
2024-08-06,29.8
2024-08-07,29.7
2024-08-08,29.6
2024-08-09,29.5
2024-08-10,29.5
2024-08-11,29.5
2024-08-12,29.6
2024-08-13,29.6
2024-08-14,29.5
2024-08-15,29.3
2024-08-16,29.1
2024-08-17,29.1
2024-08-18,29.0
2024-08-19,28.9
2024-08-20,28.9
2024-08-21,28.9
2024-08-22,28.9
2024-08-23,29.1
2024-08-24,29.2
2024-08-25,29.2
2024-08-26,29.2
2024-08-27,29.3
2024-08-28,29.4
2024-08-29,29.5
2024-08-30,29.4
2024-08-31,29.5
2024-09-01,29.6
2024-09-02,29.6
2024-09-03,29.7
2024-09-05,29.9
2024-09-06,29.7
2024-09-07,29.7
2024-09-08,29.7
2024-09-09,--
2024-09-10,--
2024-09-11,29.3
2024-09-12,29.5
2024-09-13,29.3
2024-09-14,29.0
2024-09-15,28.7
2024-09-16,28.7
2024-09-17,29.0
2024-09-18,29.2
2024-09-19,29.2
2024-09-20,29.3
2024-09-21,29.1
2024-09-22,29.0
2024-09-23,28.8
2024-09-24,28.7
2024-09-25,28.7
2024-09-26,28.8
2024-09-27,28.9
2024-09-28,28.8
2024-09-29,28.9
2024-09-30,29.0
2024-10-01,29.1
2024-10-02,29.1
2024-10-03,28.6
2024-10-04,28.1
2024-10-05,28.1
2024-10-06,28.3
2024-10-07,28.4
2024-10-08,28.6
2024-10-09,28.5
2024-10-10,28.4
2024-10-11,28.0
2024-10-12,27.9
2024-10-13,27.9
2024-10-14,28.0
2024-10-15,28.1
2024-10-16,28.2
2024-10-17,28.3
2024-10-18,28.4
2024-10-19,28.4
2024-10-20,28.5
2024-10-21,28.4
2024-10-22,28.3
2024-10-23,28.1
2024-10-24,27.6
2024-10-25,27.4
2024-10-26,27.6
2024-10-27,27.7
2024-10-28,27.8
2024-10-29,27.5
2024-10-30,27.2
2024-10-31,27.1
2024-11-01,26.5
2024-11-02,26.3
2024-11-03,26.6
2024-11-04,26.7
2024-11-05,26.7
2024-11-06,26.5
2024-11-07,26.0
2024-11-08,25.8
2024-11-09,25.7
2024-11-10,25.8
2024-11-11,25.9
2024-11-12,26.0
2024-11-13,26.1
2024-11-14,26.4
2024-11-15,26.5
2024-11-16,26.6
2024-11-17,26.5
2024-11-18,26.4
2024-11-19,25.9
2024-11-20,25.6
2024-11-21,25.5
2024-11-22,25.3
2024-11-23,25.0
2024-11-24,24.8
2024-11-25,24.8
2024-11-26,24.7
2024-11-27,24.3
2024-11-28,23.7
2024-11-29,23.1
2024-11-30,22.5
2024-12-01,22.4
2024-12-02,22.4
2024-12-03,22.5
2024-12-04,22.6
2024-12-05,22.7
2024-12-06,22.6
2024-12-07,22.5
2024-12-08,22.4
2024-12-09,22.3
2024-12-10,22.3
2024-12-11,22.2
2024-12-12,22.2
2024-12-13,22.1
2024-12-14,21.8
2024-12-15,21.2
2024-12-16,20.8
2024-12-17,20.5
2024-12-18,20.3
2024-12-19,20.1
2024-12-20,19.8
2024-12-21,19.8
2024-12-22,19.8
2024-12-23,19.5
2024-12-24,19.3
2024-12-25,19.6
2024-12-26,20.0
2024-12-27,20.2
2024-12-28,20.1
2024-12-29,19.5
2024-12-30,--
2024-12-31,--
